amedas_id,name,longitude,latitude,elevation_m,observed_at,temperature_c,temperature_quality,precipitation_1h_mm,precipitation_1h_quality,wind_speed_ms,wind_speed_quality,wind_direction_code,wind_direction_deg,wind_direction_quality
74336,佐喜浜,134.198333,33.411667,26,2026-09-07T07:00:00+09:00,,,0.0,0,,,,,
74361,窪川,133.128333,33.206667,205,2026-09-07T07:00:00+09:00,22.6,0,0.0,0,0.5,0,8.0,180.0,0
74372,室戸岬,134.176667,33.251667,185,2026-09-07T07:00:00+09:00,24.6,0,0.0,0,11.4,0,3.0,67.5,0
74381,江川崎,132.791667,33.17,72,2026-09-07T07:00:00+09:00,23.9,0,0.0,0,0.4,0,11.0,247.5,0
74391,大正,132.971667,33.193333,150,2026-09-07T07:00:00+09:00,,,0.0,0,,,,,
74436,佐賀,133.101667,33.078333,3,2026-09-07T07:00:00+09:00,24.1,0,0.0,0,2.0,0,14.0,315.0,0
74447,宿毛,132.716667,32.905,21,2026-09-07T07:00:00+09:00,23.9,0,0.0,0,0.4,0,2.0,45.0,0
74456,中村,132.92,32.99,8,2026-09-07T07:00:00+09:00,24.1,0,0.0,0,1.2,0,10.0,225.0,0
74506,三崎,132.871667,32.795,9,2026-09-07T07:00:00+09:00,,,0.0,0,,,,,
74516,清水,133.01,32.721667,31,2026-09-07T07:00:00+09:00,27.3,0,0.0,0,1.7,0,16.0,0.0,0
81011,須佐,131.623333,34.615,50,2026-09-07T07:00:00+09:00,22.2,0,0.0,0,1.3,0,4.0,90.0,0
81071,萩,131.405,34.41,2,2026-09-07T07:00:00+09:00,24.3,0,0.0,0,2.2,0,3.0,67.5,0
81116,油谷,131.055,34.37,20,2026-09-07T07:00:00+09:00,24.5,0,0.0,0,6.7,0,3.0,67.5,0
81146,篠生,131.626667,34.338333,264,2026-09-07T07:00:00+09:00,,,0.0,0,,,,,
81151,徳佐,131.725,34.398333,310,2026-09-07T07:00:00+09:00,20.6,0,0.0,0,2.3,0,1.0,22.5,0
81167,羅漢山,132.063333,34.35,945,2026-09-07T07:00:00+09:00,,,0.5,0,,,,,
81196,秋吉台,131.306667,34.235,240,2026-09-07T07:00:00+09:00,22.6,0,0.0,0,4.9,0,1.0,22.5,0
81228,鹿野,131.815,34.225,368,2026-09-07T07:00:00+09:00,,,0.0,0,,,,,
81231,広瀬,131.951667,34.261667,97,2026-09-07T07:00:00+09:00,23.6,0,0.0,0,0.5,0,4.0,90.0,0
81266,豊田,131.076667,34.186667,40,2026-09-07T07:00:00+09:00,24.4,0,0.0,0,3.5,0,16.0,0.0,0
81271,東厚保,131.181667,34.118333,56,2026-09-07T07:00:00+09:00,,,0.0,0,,,,,
81286,山口,131.461667,34.161667,18,2026-09-07T07:00:00+09:00,25.6,0,0.0,0,2.5,0,2.0,45.0,0
81301,和田,131.753333,34.17,154,2026-09-07T07:00:00+09:00,,,0.0,0,,,,,
81321,岩国,132.178333,34.155,41,2026-09-07T07:00:00+09:00,25.3,0,0.0,0,2.3,0,1.0,22.5,0
